0,0,0,0,0,0,3,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
5,4,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,5,4,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
38,27,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,2,1,0,9,5,2,0,7,2,0,0,0,0,0,0,0,0,0,0,4,3,1,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,1,0,0,3,3,4,4,28,18,136,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,0,0,10,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,1,1,
11,10,3,1,7,3,6,3,3,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,1,1,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,7,17,11,2,0,2,2,3101,1974,0,0,6,5,30,17,101,59,41,25,19,8,0,0,7,5,12,4,10,8,0,0,1,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1376,860,220,147,65589,47801,1123,756,465,262,167,105,80,53,56,37,1192,765,711,453,10235,7007,65,47,1747,1239,2251,1649,34,23,16,11,181,127,14,11,14,6,272,178,
0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,77,55,1,0,0,0,1,1,0,0,0,0,4,3,3,3,49,25,0,0,2,2,5,4,0,0,0,0,1,1,0,0,0,0,0,0,
2,2,0,0,1012,783,10,6,0,0,2,2,0,0,0,0,17,8,6,5,306,210,0,0,14,12,57,41,0,0,0,0,1,1,0,0,0,0,3,2,
0,0,0,0,33,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,
7,4,0,0,2376,1845,12,11,4,4,1,1,0,0,0,0,35,22,25,16,685,474,0,0,41,32,76,61,0,0,0,0,0,0,0,0,0,0,5,1,
2,1,1,1,2533,1916,22,12,3,0,1,0,2,1,1,1,20,11,16,13,594,403,0,0,24,19,45,33,1,1,0,0,7,5,0,0,0,0,6,3,
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,80,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,181,120,3,2,0,0,1,1,0,0,0,0,1,0,0,0,32,18,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,32,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,12,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
